Grid;Solver;AvgTime;AvgAttempts;AvgPathLength;SuccessRate
50x5x50;ACO;2088.1;1.00;196.0;10.0
60x6x60;ACO;3725.4;1.00;230.0;5.0
75x5x75;ACO;4341.4;1.00;-1.0;0.0
100x5x100;ACO;7221.7;1.00;-1.0;0.0
