MapSize;CellCount;AvgTotal_ms;AvgEntropy_ms;MedianTotal_ms;MedianEntropy_ms;StdDevTotal_ms;StdDevEntropy_ms;MinTotal_ms;MinEntropy_ms;MaxTotal_ms;MaxEntropy_ms
10x3x10;300;9.61;0.00;9.59;0.00;0.19;0.00;9.20;0.00;10.39;0.00
15x3x15;675;24.06;0.00;23.88;0.00;1.02;0.00;22.99;0.00;31.63;0.00
20x4x20;1600;67.78;0.00;67.55;0.00;1.72;0.00;64.82;0.00;77.18;0.00
25x4x25;2500;108.70;0.99;108.39;1.00;2.20;0.10;104.57;0.00;118.98;1.00
30x5x30;4500;212.44;1.99;213.26;2.00;5.29;0.22;199.91;0.00;222.62;3.00
